Date,10Y,30Y,1Y,5Y,3Y,2Y
01-01-2008,4.303,4.898,3.727,3.824,3.682,3.719
01-02-2008,4.335,5.039,3.639,3.722,3.589,3.419
01-03-2008,4.459,5.129,3.98,4.067,4.005,3.85
01-04-2008,4.591,5.163,4.214,4.224,4.22,4.074
01-05-2008,4.969,5.358,4.442,4.671,4.662,4.579
01-06-2008,5.284,5.547,4.765,5.14,5.134,4.976
01-07-2008,5,5.262,4.625,4.74,4.757,4.62
01-08-2008,4.882,5.19,4.541,4.69,4.584,4.466
01-09-2008,4.951,5.373,4.133,4.657,4.328,4.073
01-10-2008,5.512,5.729,3.317,4.888,4.283,3.833
01-11-2008,4.839,5.403,3.564,4.352,4.225,4
01-12-2008,5.225,5.884,3.549,4.961,4.585,4.156
01-01-2009,5.815,6.271,2.66,5.223,4.554,3.476
01-02-2009,5.678,6.141,2.092,4.992,4.417,3.311
01-03-2009,5.74,6.023,1.794,4.92,3.804,2.932
01-04-2009,5.318,5.59,1.667,4.526,3.455,2.544
01-05-2009,5.446,5.846,1.296,4.226,3.043,2.141
01-06-2009,5.041,5.763,1.265,3.69,2.743,1.854
01-07-2009,4.52,5.279,1.098,3.331,2.398,1.589
01-08-2009,4.492,5.232,0.985,3.346,2.423,1.551
01-09-2009,4.52,5.197,0.926,3.361,2.173,1.348
01-10-2009,4.654,5.449,1.065,3.404,2.251,1.41
01-11-2009,4.995,5.716,1.321,3.909,2.863,1.823
01-12-2009,5.774,6.318,2.21,4.96,4.061,3.445
01-01-2010,6.854,6.607,6.174,6.666,6.67,5.88
01-02-2010,6.362,6.565,4.557,6.241,6.357,6.143
01-03-2010,6.529,6.593,4.29,6.108,5.733,5.119
01-04-2010,8.962,7.549,8.208,10.624,12.225,12.718
01-05-2010,7.707,8.121,5.882,8.225,7.703,7.251
01-06-2010,10.426,9.393,7.218,10.872,11.119,10.041
01-07-2010,10.297,8.606,6.326,10.656,10.855,9.915
01-08-2010,11.348,9.213,8.581,12.024,12.024,11.228
01-09-2010,10.452,8.5,5.393,10.389,10.149,8.357
01-10-2010,10.561,8.694,5.833,11.175,11.315,9.082
01-11-2010,11.857,9.185,6.265,12.383,13.122,11.634
01-12-2010,12.472,9.2,6.265,13.469,13.938,12.238
01-01-2011,11.214,8.542,6.265,12.358,13.74,12.93
01-02-2011,11.779,8.769,6.265,13.255,15.11,14.055
01-03-2011,12.736,9.007,6.265,14.189,17.134,15.394
01-04-2011,15.355,9.753,6.265,16.709,23.425,24.37
01-05-2011,15.844,10.788,6.265,16.331,24.014,24.115
01-06-2011,15.974,11.184,6.265,18.28,26.038,25.781
01-07-2011,14.489,10.525,39.807,16.554,26.567,31.631
01-08-2011,17.399,12.016,57.731,20.989,34.21,41.322
01-09-2011,21.811,14.837,114.717,25.877,43.308,59.1
01-10-2011,22.314,14.962,144.095,27.82,50.369,72.942
01-11-2011,30.093,18.912,278.724,43.519,79.205,117.452
01-12-2011,31.676,21.18,327.348,49.78,86.289,125.937
01-01-2012,31.531,19.981,419.886,48.508,95.261,166.807
01-02-2012,32.605,21.596,673.141,51.724,103.298,203.982
01-03-2012,20.549,16.711,927.265,53.562,107.447,205.602
