T,num_series,coint_frac,num_of_rw,SADF_mean,SADF_median,SADF_min,SADF_max,SADF_std,SADF_p25,SADF_p75,SADF_p95,SADF_p99,crit_95,crit_99,power,delta
800,25,0.4,0.6,20.629,22.694,-1.044,26.202,5.359,20.468,23.638,24.617,25.195,2.902,3.947,0.977,0.01
800,25,0.4,0.6,22.908,23.683,0.759,26.746,3.363,22.961,24.293,25.11,25.647,2.902,3.947,0.993,0.012
800,25,0.4,0.6,23.087,23.752,-1.279,26.752,3.308,23.025,24.375,25.081,25.695,2.902,3.947,0.991,0.0125
800,25,0.4,0.6,23.354,23.783,0.228,26.658,2.606,23.154,24.373,25.166,25.836,2.902,3.947,0.995,0.013
800,25,0.4,0.6,23.71,23.856,0.087,26.48,1.729,23.285,24.419,25.248,25.832,2.902,3.947,0.998,0.015
800,25,0.4,0.6,23.669,23.654,0.878,26.604,1.072,23.176,24.216,25.04,25.472,2.902,3.947,0.999,0.02
800,25,0.4,0.6,15.529,17.46,-0.904,24.102,6.181,12.065,20.418,22.553,23.325,2.902,3.947,0.937,0.008
800,25,0.4,0.6,13.218,14.644,-2.238,23.664,6.414,8.106,18.657,21.257,22.26,2.902,3.947,0.901,0.0075
800,25,0.4,0.6,11.559,12.524,-2.34,22.942,6.151,6.789,16.78,20.019,21.342,2.902,3.947,0.864,0.007
800,25,0.4,0.6,4.936,4.582,-2.353,15.729,3.43,2.156,7.232,11.127,13.567,2.902,3.947,0.662,0.005
800,25,0.4,0.6,1.003,0.994,-4.127,4.605,1.314,0.169,1.954,3.046,3.877,2.902,3.947,0.066,0.001
