T,num_series,coint_frac,num_of_rw,SADF_mean,SADF_median,SADF_min,SADF_max,SADF_std,SADF_p25,SADF_p75,SADF_p95,SADF_p99,crit_95,crit_99,power
300,50,0.4,0.4,4.252,4.134,-3.185,12.85,3.036,1.741,6.563,9.396,10.667,2.8766,3.819,0.631
300,50,0.6,0.4,2.712,2.668,-3.073,10.883,2.716,0.683,4.718,7.191,8.861,2.736,3.542,0.493
300,50,0.8,0.4,1.222,1.42,-2.791,7.854,2.548,-0.827,3.162,5.204,6.504,1.719,2.872,0.465
500,50,0.4,0.4,15.39,17.025,-1.58,20.833,4.34,14.732,17.964,18.966,19.53,2.715,3.6609,0.966
500,50,0.6,0.4,9.433,10.371,-2.963,19.596,5.531,5.01,14.08,17.057,18.106,2.645,3.649,0.842
500,50,0.8,0.4,3.287,3.569,-3.281,12.365,3.506,0.724,5.89,8.755,10.389,2.1013,3.212,0.631
800,50,0.4,0.4,23.468,23.814,-1.493,26.636,2.365,23.228,24.388,25.222,25.815,2.647,3.386,0.997
800,50,0.6,0.4,26.149,26.449,1.045,28.86,2.245,25.839,27.007,27.804,28.242,2.840264,3.535165,0.998
800,50,0.8,0.4,`,15.764,-4.377,24.782,5.082,12.191,18.497,21.421,22.566,2.506509,3.661658,0.971
1000,50,0.4,0.4,26.805,26.79,11.315,30.21,1.022,26.251,27.353,28.263,28.807,2.708166,3.533509,1
1000,50,0.6,0.4,29.755,30.342,-1.326,33.538,3.41,29.692,30.908,31.761,32.25,2.808202,4.030149,0.995
1000,50,0.8,0.4,18.239,19.995,-4.35,30.457,7.302,14.121,23.842,27.098,28.656,1.876028,2.791645,0.959
300,50,0.4,0.6,4.29,4.033,-2.52,12.204,2.975,1.927,6.67,9.373,10.613,2.968442,3.893308,0.627
300,50,0.6,0.6,2.335,2.267,-3.073,10.042,2.5,0.545,4.05,6.487,8.23,2.629,3.4924,0.442
300,50,0.8,0.6,0.077,-0.04,-2.791,6.578,2.247,-2.042,1.765,3.875,5.223,1.758205,2.742651,0.251
500,50,0.4,0.6,13.6,15.68,-2.505,21.246,5.232,11.557,17.333,18.576,19.206,2.724158,3.551788,0.929
500,50,0.6,0.6,8.448,9.011,-2.963,19.488,5.381,4.077,12.861,16.418,17.758,2.610292,3.510041,0.814
500,50,0.8,0.6,2.056,1.946,-3.281,11.858,3.365,-0.65,4.539,7.925,9.177,2.177917,3.265047,0.478
800,50,0.4,0.6,23.243,23.76,-0.941,26.306,2.955,23.15,24.344,25.17,25.702,2.788386,3.597536,0.995
800,50,0.6,0.6,25.531,26.247,-1.937,29.157,3.502,25.494,26.896,27.8,28.242,2.856221,3.815616,0.992
800,50,0.8,0.6,10.051,10.676,-4.377,23.48,6.12,6.056,14.748,19.016,20.761,2.335721,3.423176,0.869
1000,50,0.4,0.6,26.873,26.875,12.72,29.521,0.947,26.312,27.456,28.28,28.874,2.886371,3.642507,1
1000,50,0.6,0.6,29.151,30.268,-1.934,32.947,4.403,29.349,30.966,31.85,32.384,2.966,3.958,0.994
1000,50,0.8,0.6,12.455,13.277,-4.35,29.481,8.358,5.735,19.096,24.846,27.134,2.12,3.141,0.852
